Start Date	10/01/2017
End Date	11/04/2017
Report Type	Apple Music
Currency	AUD
Storefront Name	Apple Identifier	Membership Type	Quantity	Net Royalty	Net Royalty Total	ISRC	Item_Title	Item_Artist	Item Type	Media Type	Vendor Identifier	Offline Indicator	Label/Studio/Network	Grid
AU	216511564	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEH260631210	Lyrica Volcanica (Dub Mix)	Up, Bustle & Out	1	1	DEH260631210	0	Collision	
AU	216511565	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEH260631211	Tinto Tintero	Up, Bustle & Out	1	1	DEH260631211	0	Collision	
AU	217716769	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBBAQ9980501	Altered Future	Saafi Brothers	1	1	GBBAQ9980501	0	Le Mar Production	
AU	217716801	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBBAQ9980502	Into States of Consciousness	Saafi Brothers	1	1	GBBAQ9980502	0	Le Mar Production	
AU	217716939	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBBAQ9980505	Mystical Chants	Saafi Brothers	1	1	GBBAQ9980505	0	Le Mar Production	
AU	217716986	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBBAQ9980507	The Deep, Pt. 1	Saafi Brothers	1	1	GBBAQ9980507	0	Le Mar Production	
AU	219657918	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	GBGXG0500063	Falling Up (Carl Craig Remix)	Theo Parrish	1	1	GBGXG0500063	0	Third Ear Recordings	
AU	252216818	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEY500700007	So Called Friend	Danni Leigh	1	1	DEY500700007	0	AGR Television Records	
AU	252944232	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	ATM960400002	Beautiful	Julia Crane	1	1	ATM960400002	0	monkey.	
AU	253447667	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEA629441180	Lass uns schmutzig Liebe machen	Die Schröders	1	1	DEA629441180	0	Nothing To Loose Records	
AU	256171552	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650602442	Smuggling Weed	Teacha Dee	1	1	DEZ650602442	0	Pow Pow Productions	
AU	257127924	Indirect Individual Monthly EXTENDED TRIAL	3	.021330	.063990	DEGD30500149	One	Jay-Roc	1	1	DEGD30500149	0	Dominance Records	
AU	257127958	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEGD30500137	The Floor Is Yours	DJ Nas'D	1	1	DEGD30500137	0	Dominance Records	
AU	257127980	Indirect Individual Monthly EXTENDED TRIAL	8	.021330	.170640	DEGD30500150	You Gotta Feed Da Funk	Hawkeye	1	1	DEGD30500150	0	Dominance Records	
AU	257128135	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEGD30500158	Wanna Party With Me	Esone	1	1	DEGD30500158	0	Dominance Records	
AU	257128168	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEGD30500160	Jammin' With the Crew	Dominance Crushing Crew	1	1	DEGD30500160	0	Dominance Records	
AU	257128173	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEGD30500161	Love Groove	Reeno	1	1	DEGD30500161	0	Dominance Records	
AU	257129607	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEH330601815	Islands of Memories	Paradise Blue	1	1	DEH330601815	0	Manifold Records	
AU	257449649	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEY500700037	Fast Car	The Wilkinsons	1	1	DEY500700037	1	AGR Television Records	
AU	257449649	Indirect Individual Monthly EXTENDED TRIAL	7	.021330	.149310	DEY500700037	Fast Car	The Wilkinsons	1	1	DEY500700037	0	AGR Television Records	
AU	257450888	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEGD30600180	Come On and Stand Up	DJ Nas'D	1	1	DEGD30600180	0	Dominance Records	
AU	257450961	Indirect Individual Monthly EXTENDED TRIAL	3	.021330	.063990	DEGD30600167	Taken from the Street	DJ Nas'D	1	1	DEGD30600167	0	Dominance Records	
AU	257450968	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEGD30600181	Crewlife (For My Crew Nasty Stylistix) [feat. Spunk]	DJ Nas'D feat. Spunk	1	1	DEGD30600181	0	Dominance Records	
AU	257451035	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEGD30600183	Move On This	DJ Nas'D	1	1	DEGD30600183	0	Dominance Records	
AU	257451055	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEGD30600184	Wenn Du Tanzt (feat. Clueso)	DJ Nas'D feat. Clueso	1	1	DEGD30600184	0	Dominance Records	
AU	257451102	Indirect Individual Monthly EXTENDED TRIAL	4	.021330	.085320	DEGD30600185	Blockparty	DJ Nas'D	1	1	DEGD30600185	0	Dominance Records	
AU	257451105	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEGD30600186	Cruisin' Like Michael	DJ Nas'D	1	1	DEGD30600186	0	Dominance Records	
AU	257451111	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEGD30600187	Definition of Funk	DJ Nas'D	1	1	DEGD30600187	0	Dominance Records	
AU	257793529	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DEZ650510163	Sun and Water	Floating Clouds	1	1	DEZ650510163	0	Manifold Records	
AU	258826018	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEQ470700022	Try to Forget (Radio-Forg-Edit)	De/Vision	1	1	DEQ470700022	0	Synthetic Product Records	
AU	258934812	Indirect Individual Monthly EXTENDED TRIAL	1	.021330	.021330	DECL50700021	R.U.H.R.P.O.T.T.	Snaga & Pillath	1	1	DECL50700021	0	Deluxe Records	
AU	259378132	Indirect Individual Monthly EXTENDED TRIAL	2	.021330	.042660	DEQ470700026	Trust You (single Version)	Mesh	1	1	DEQ470700026	0	Synthetic Product Records	
