Format version	Start date	End date	Sender	Recipient	Disclaimer
2	2017-10-01	2017-10-31	Spotify	Finetunes	Confidential
Country	Label	Product	URI	UPC	EAN	ISRC	Track name	Artist name	Composer name	Album name	Quantity	USD Payable
NZ	BT-Music	TCOM2SA	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	1	0.008010056124228692876015204868
FR	BT-Music	A	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	2	0.001257763840138652255302275274
DE	BT-Music	P	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	50	0.2979921473586211320493457540
DE	BT-Music	PDS	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	1	0.002733146696789517997014646121
CH	BT-Music	P	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	2	0.01674327979809223752843380046
DE	BT-Music	FAM6	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	65	0.2038914713026745908489324233
CH	BT-Music	FAM6	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	2	0.008521238224505963035067838234
DE	BT-Music	DTSA	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	7	0.04654734627536342794698219444
SE	BT-Music	P	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	2	0.01372049148805104457350403494
IT	BT-Music	P	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	1	0.007278894145140108424682573733
DE	BT-Music	A	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	13	0.01625400352272891133892978824
DE	BT-Music	DHB	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	2	0.01709348852495800746516270664
DE	BT-Music	PDIB	spotify:track:000b1r9O22PIRQM1Jn6M6Z	4051569212829		DEE701303192	Perfunieren	Rolf Herricht, Hans-Joachim Preil	--	Komiker- Parade: Folge 5 (Originalaufnahmen 1957 - 1972)	9	0.04372291755342109291654264378
PL	Blue Pearls Music	A	spotify:track:0011yBpUQQeh5JuOD3tEpu		4047179038027	DEDK10901005	Hand Up	Muriel Zoe	N/A	Flood	1	0.0005879040553155273306088932751
FR	Blue Pearls Music	P	spotify:track:0011yBpUQQeh5JuOD3tEpu		4047179038027	DEDK10901005	Hand Up	Muriel Zoe	N/A	Flood	7	0.04354007066164202544839593426
ES	Blue Pearls Music	P	spotify:track:0011yBpUQQeh5JuOD3tEpu		4047179038027	DEDK10901005	Hand Up	Muriel Zoe	N/A	Flood	3	0.01927545062497784837319922489
DE	Blue Pearls Music	P	spotify:track:0011yBpUQQeh5JuOD3tEpu		4047179038027	DEDK10901005	Hand Up	Muriel Zoe	N/A	Flood	4	0.02383937178868969056394766032
DE	Blue Pearls Music	FAM6	spotify:track:0011yBpUQQeh5JuOD3tEpu		4047179038027	DEDK10901005	Hand Up	Muriel Zoe	N/A	Flood	1	0.003136791866194993705368191128
NL	Blue Pearls Music	FAM6	spotify:track:0011yBpUQQeh5JuOD3tEpu		4047179038027	DEDK10901005	Hand Up	Muriel Zoe	N/A	Flood	2	0.006437975371709883504170247252
SE	Blue Pearls Music	FAM6	spotify:track:0011yBpUQQeh5JuOD3tEpu		4047179038027	DEDK10901005	Hand Up	Muriel Zoe	N/A	Flood	2	0.008399368232144052293698907898
TR	Blue Pearls Music	FAM6	spotify:track:0011yBpUQQeh5JuOD3tEpu		4047179038027	DEDK10901005	Hand Up	Muriel Zoe	N/A	Flood	3	0.003242563111602530763029110971
DE	Blue Pearls Music	A	spotify:track:0011yBpUQQeh5JuOD3tEpu		4047179038027	DEDK10901005	Hand Up	Muriel Zoe	N/A	Flood	1	0.001250307963286839333763829865
EE	Umblu Records	P	spotify:track:0016JLSF8jp5Yo32KTfVgz		4260166380781	USEVB3400030	Evil Fire Burnin	Kalm	N/A	Generalissimus	14	0.06561972518183136544770316282
EE	Umblu Records	TEESA	spotify:track:0016JLSF8jp5Yo32KTfVgz		4260166380781	USEVB3400030	Evil Fire Burnin	Kalm	N/A	Generalissimus	1	0.005459422340941870857677288688
EE	Umblu Records	A	spotify:track:0016JLSF8jp5Yo32KTfVgz		4260166380781	USEVB3400030	Evil Fire Burnin	Kalm	N/A	Generalissimus	1	0.00003741476805576817384452068028
DE	Ilian Tape	A	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	134	0.1675412670804364707243532019
DE	Ilian Tape	PDIB	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	6	0.02914861170228072861102842919
SG	Ilian Tape	P	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	10	0.04796035207531339710793148700
CA	Ilian Tape	ROG-MWA	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	6	0.02741010709929047119369576172
DK	Ilian Tape	P	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	76	0.6463930948394358797901400534
CL	Ilian Tape	P	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	2	0.007511837973817107632300335636
BR	Ilian Tape	A	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	6	0.001692868616612696026091263453
SG	Ilian Tape	FAM6	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	2	0.003750419667445543682440102066
SE	Ilian Tape	P	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	397	2.723517560378132347840550935
EE	Ilian Tape	A	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	6	0.0002244886083346090430671240817
NL	Ilian Tape	KSB	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	15	0.06493959768789880271787495162
AT	Ilian Tape	FAM6	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	7	0.02208567370640664776926316175
US	Ilian Tape	U	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	2	0.007824072283717486016441195130
US	Ilian Tape	P	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	1226	7.277035171090836330532140554
ID	Ilian Tape	P	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	7	0.01727380655920841937919357591
CZ	Ilian Tape	PDIB	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	4	0.02066673409249595442544144127
CZ	Ilian Tape	PDS	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	11	0.01904412279295929149596164285
GB	Ilian Tape	PDSNEI	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	4	0.03244962354193736272409823171
AU	Ilian Tape	P	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	478	2.594177170886061128341513178
BE	Ilian Tape	FAM6	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	72	0.2746617712799297366000761180
CA	Ilian Tape	P	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	101	0.4745642440764950329930150889
IT	Ilian Tape	PDS	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	2	0.006440245034047715259901938976
NO	Ilian Tape	FAM6	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	22	0.09505980536270329007938273846
NO	Ilian Tape	PDS	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	1	0.002442235790900926356583528460
GB	Ilian Tape	PDIBB	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	93	0.8591291564126816228338943233
NZ	Ilian Tape	A	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	14	0.01347233873011321436349382687
FR	Ilian Tape	BOUYGUES-SA	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	1	0.006240410359669068521109401099
MY	Ilian Tape	MSA	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	1	0.002563097480775623955227363863
DE	Ilian Tape	PDSE	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	1	0.003030006754511528040488727570
GR	Ilian Tape	FAM6	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	1	0.002207577437200663143946821872
BR	Ilian Tape	P	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	11	0.04535077546658529855793568636
NZ	Ilian Tape	P	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	32	0.1828835366812580488670848686
JP	Ilian Tape	PDIB	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	16	0.1124547727665188646931473034
DK	Ilian Tape	PDS	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	11	0.03843402569406166315404321915
ES	Ilian Tape	P	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	68	0.4369102141661645631258490975
IS	Ilian Tape	A	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	1	0.0001251216840970313790711672682
MT	Ilian Tape	A	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	2	4.279320610876071116133903342E-7
BR	Ilian Tape	PDLS6	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	2	0.006106461379814341168861934646
PL	Ilian Tape	PDLS12	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	2	0.004985663280095083903519019500
AU	Ilian Tape	A	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	26	0.04864683265668665359484230069
NL	Ilian Tape	FAM6	spotify:track:001AtqHBv2Pmnfkd4D1fDe	4044693784409		DEOB61700308	Routine	Skee Mask	N/A	ISS002	235	0.7564621061759113117400040521
