Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
11/05/2017	12/02/2017		DEG020516106	DEG020516106	1	1.29	1.29	AUD	S	276030319	van der Sandt, Johann; University of Pretoria Camerata	We Are Marching to Pretoria	prospect		H		NZ			2.39	NZD
11/05/2017	12/02/2017		DEG020516113	DEG020516113	1	1.29	1.29	AUD	S	276030648	-Dingaan, Michael; University of Pretoria Chorale	Tuva	prospect		H		NZ			2.39	NZD
11/05/2017	12/02/2017		DEG020516115	DEG020516115	1	1.29	1.29	AUD	S	276030674	van der Sandt, Johann; University of Pretoria Camerata	Because of You	prospect		H		NZ			2.39	NZD
11/05/2017	12/02/2017		DEG020516121	DEG020516121	1	1.29	1.29	AUD	S	276030768	University of Pretoria Concert Choir	IParadisi	prospect		H		NZ			2.39	NZD
11/05/2017	12/02/2017		DEG020617504	DEG020617504	1	1.29	1.29	AUD	S	276060321	van der Sandt, Johann; University of Pretoria Camerata	Prayer of Saint Francis	prospect		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEM070100235	DEM070100235	1	0.99	0.99	AUD	S	277902039	Charlie Feathers	That Certain Female	Part Records		H		AU			1.69	AUD
11/05/2017	12/02/2017	673794311128		673794311128	1	9.99	9.99	AUD	S	278473587	Cali P.	Lyrical Faya	Pow Pow Productions		I		NZ			18.99	NZD
11/05/2017	12/02/2017	617936903222		617936903222	1	9.99	9.99	AUD	S	279131194	Saafi Brothers	Mystic Cigarettes	Le Mar Production		I		AU			16.99	AUD
11/05/2017	12/02/2017	827170231467		827170231467	1	2.99	2.99	AUD	S	280652621	Dapayk & Padberg	Black Beauty Remixes, Vol. 2 - EP	Mo's Ferry Productions		I		AU			4.99	AUD
11/05/2017	12/02/2017		DEEC60800053	DEEC60800053	1	1.29	1.29	AUD	S	280652653	Dapayk & Padberg	Island (feat. Caro) [Nôze Remix]	Mo's Ferry Productions		H		NZ			2.39	NZD
11/05/2017	12/02/2017		DEZ650805324	DEZ650805324	1	0.99	0.99	AUD	S	281006874	Ólafur Arnalds	Fok	Erased Tapes		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650805325	DEZ650805325	1	0.99	0.99	AUD	S	281006877	Ólafur Arnalds	Vio Vorum Sma	Erased Tapes		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650805326	DEZ650805326	1	0.99	0.99	AUD	S	281006886	Ólafur Arnalds	Haust	Erased Tapes		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650805327	DEZ650805327	1	0.99	0.99	AUD	S	281006893	Ólafur Arnalds	Lokaou Augunum	Erased Tapes		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650805328	DEZ650805328	1	0.99	0.99	AUD	S	281006913	Ólafur Arnalds	Himininn Er Ao Hrynja, en Stjornurnar Fara Per Vel	Erased Tapes		H		AU			1.69	AUD
11/05/2017	12/02/2017	4047179136327		4047179136327	1	9.99	9.99	AUD	S	281568444	DubXanne	The Police In Dub	Echo Beach		I		AU			16.99	AUD
11/05/2017	12/02/2017		DEBR10500022	DEBR10500022	1	1.29	1.29	AUD	S	283360889	The Joshua Steeven	Dead N Gone	RSMusic		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEX050800062	DEX050800062	1	1.29	1.29	AUD	S	285310041	French Affair	Comme Ci Comme Ca	Score Music		H		AU			2.19	AUD
11/05/2017	12/02/2017		CAL660400007	CAL660400007	1	1.29	1.29	AUD	S	290845091	Champion	Keep On	Saboteur		H		AU			2.19	AUD
11/05/2017	12/02/2017	4260019220370		4260019220370	2	10.99	21.98	AUD	S	291743463	Mark Wills	Familiar Stranger	AGR Television Records		I		AU			18.99	AUD
11/05/2017	12/02/2017		USTC40876691	USTC40876691	1	1.29	1.29	AUD	S	293993816	Linkwood	R.I.P	Prime Numbers		H		AU			2.19	AUD
11/05/2017	12/02/2017		DED579802960	DED579802960	1	0.99	0.99	AUD	S	295345660	Die Ärzte	Der Graf	Hot Action Records		H		AU			1.69	AUD
11/05/2017	12/02/2017		SEWAK0800804	SEWAK0800804	1	1.29	1.29	AUD	S	296553148	Bennson	Let the Love (Soul Tornado Remix)	Raw Fusion Scandinavia		H		AU			2.19	AUD
11/05/2017	12/02/2017	4260176215219		4260176215219	1	9.99	9.99	AUD	S	296799023	Die Ärzte	Jazz ist anders	Hot Action Records		I		AU			16.99	AUD
11/05/2017	12/02/2017		DEUM70708298	DEUM70708298	1	0.99	0.99	AUD	S	296799045	Die Ärzte	Lasse redn	Hot Action Records		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEUM70708300	DEUM70708300	1	0.99	0.99	AUD	S	296799053	Die Ärzte	Junge	Hot Action Records		H		AU			1.69	AUD
11/05/2017	12/02/2017		DEZ650810864	DEZ650810864	1	1.29	1.29	AUD	S	296968302	Uptown Funk Empire	Nothing's Gonna Stop Us Now Featuring Noel Mc Koy	Soulab		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650810865	DEZ650810865	1	1.29	1.29	AUD	S	296968305	Uptown Funk Empire	You Ve Got to Have Freedom (Patchworks Remix)	Soulab		H		AU			2.19	AUD
11/05/2017	12/02/2017		DEZ650810866	DEZ650810866	2	1.29	2.58	AUD	S	296968307	Uptown Funk Empire	Boogie	Soulab		H		AU			2.19	AUD
11/05/2017	12/02/2017		ATK430809001	ATK430809001	1	1.29	1.29	AUD	S	297474625	Bunny Lake	Into the Future (The Aston Shuffle Remix)	klein records		H		AU			2.19	AUD
11/05/2017	12/02/2017	4260006220024		4260006220024	1	5.99	5.99	AUD	S	300452769	Ellen Marquart, Bernd Marquart	Jazzlife - Christmas Songs	Marquart Music		I		AU			9.99	AUD
