countryOfSale,label,product,uri,upc,ean,isrc,title,author,composer,album,quantity,revenueTotal
SG,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.003750419667
SE,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,397,2.72351756
EE,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,6,0.0002244886083
NL,Ilian Tape,KSB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,15,0.06493959769
AT,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,7,0.02208567371
US,Ilian Tape,U,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.007824072284
US,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1226,7.277035171
ID,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,7,0.01727380656
CZ,Ilian Tape,PDIB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,4,0.02066673409
CZ,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,11,0.01904412279
GB,Ilian Tape,PDSNEI,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,4,0.03244962354
AU,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,478,2.594177171
BE,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,72,0.2746617713
CA,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,101,0.4745642441
IT,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.006440245034
NO,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,22,0.09505980536
NO,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.002442235791
GB,Ilian Tape,PDIBB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,93,0.8591291564
NZ,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,14,0.01347233873
FR,Ilian Tape,BOUYGUES-SA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.00624041036
MY,Ilian Tape,MSA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.002563097481
DE,Ilian Tape,PDSE,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.003030006755
GR,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.002207577437
BR,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,11,0.04535077547
NZ,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,32,0.1828835367
JP,Ilian Tape,PDIB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,16,0.1124547728
DK,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,11,0.03843402569
ES,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,68,0.4369102142
IS,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.0001251216841
MT,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,4.28E-07
BR,Ilian Tape,PDLS6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.00610646138
PL,Ilian Tape,PDLS12,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.00498566328
AU,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,26,0.04864683266
NL,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,235,0.7564621062
ES,Ilian Tape,VFSA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.008957413065
SE,Ilian Tape,TSBN,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.00871381613
IE,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,5,0.01480199221
BE,Ilian Tape,U,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.004382503911
BE,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,46,0.3313007778
AR,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,12,0.03984922941
AR,Ilian Tape,FAM6,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,6,0.01001160406
GR,Ilian Tape,CHB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,1,0.007228309117
DE,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,110,0.3006461366
IE,Ilian Tape,VFSB,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,17,0.07642609198
SE,Ilian Tape,TSA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,38,0.2952016274
ES,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,67,0.02051818449
PE,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,2,0.0004383256575
FR,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,208,1.2937621
GB,Ilian Tape,PDS,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,509,1.539019781
MX,Ilian Tape,P,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,28,0.07555833551
CH,Ilian Tape,A,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,10,0.004003747021
EE,Ilian Tape,TEESA,spotify:track:001AtqHBv2Pmnfkd4D1fDe,4044693784409,,DEOB61700308,Routine,Skee Mask,N/A,ISS002,3,0.01637826702
